Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mézières, P., Paulin, M.","57406332600;7005155356;","Efficient spherical harmonic shading for separable BRDF",2021,"Proceedings - SIGGRAPH Asia 2021 Technical Communications, SA 2021",,,"11","","",,,"10.1145/3478512.3488597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123775112&doi=10.1145%2f3478512.3488597&partnerID=40&md5=127adb9716557af95bb80f69bbe9b200",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85123775112
"Lorini, E., Sartor, G.","57203025952;57201282153;","The Ethics of Controllability as Influenceability",2021,"Frontiers in Artificial Intelligence and Applications","346",,,"245","254",,,"10.3233/FAIA210344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122087937&doi=10.3233%2fFAIA210344&partnerID=40&md5=412ee7327edbe1e1f3c6f173639d9839",Conference Paper,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85122087937
"Aliane, M., Bentobache, M., Moussouni, N., Marthon, P.","57211155957;55217619500;54791309800;56004738100;","Direct method to solve linear-quadratic optimal control problems",2021,"Numerical Algebra, Control and Optimization","11","4",,"645","663",,,"10.3934/naco.2021002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116046601&doi=10.3934%2fnaco.2021002&partnerID=40&md5=8cc0931d3c67c610144a4ce8e0062b12",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85116046601
"Espírito Santo, J., Matthes, R., Pinto, L.","57216654052;56232241200;22433344400;","A coinductive approach to proof search through typed lambda-calculi",2021,"Annals of Pure and Applied Logic","172","10","103026","","",,,"10.1016/j.apal.2021.103026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111709939&doi=10.1016%2fj.apal.2021.103026&partnerID=40&md5=42e144dd4084884056da2ede5fb34ca6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85111709939
"Cabanac, G., Labbé, C.","23388701700;7006042431;","Prevalence of nonsensical algorithmically generated papers in the scientific literature",2021,"Journal of the Association for Information Science and Technology","72","12",,"1461","1476",,1,"10.1002/asi.24495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106408890&doi=10.1002%2fasi.24495&partnerID=40&md5=1916c281af471ebd92b6b1504785fac1",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85106408890
"Cumyn, A., Barton, A., Dault, R., Safa, N., Cloutier, A.-M., Ethier, J.-F.","26767683200;55770361000;55816440500;57225173528;57524835000;56007298000;","Meta-consent for the secondary use of health data within a learning health system: a qualitative study of the public’s perspective",2021,"BMC Medical Ethics","22","1","81","","",,1,"10.1186/s12910-021-00647-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104019302&doi=10.1186%2fs12910-021-00647-x&partnerID=40&md5=597381756b1fe3c095c9a23949a1c223",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85104019302
"Marx, S., Pauwels, E., Weisser, T., Henrion, D., Lasserre, J.B.","56315841100;57038187700;56982982500;7006323650;16429225800;","Semi-algebraic Approximation Using Christoffel–Darboux Kernel",2021,"Constructive Approximation","54","3",,"391","429",,1,"10.1007/s00365-021-09535-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103906540&doi=10.1007%2fs00365-021-09535-4&partnerID=40&md5=6a6f25bd2cab9f1c5bed8309eaf0f5b7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85103906540
"Boizard, F., Buffin-Meyer, B., Aligon, J., Teste, O., Schanstra, J.P., Klein, J.","57191407036;56018120100;36702555800;6505857335;6701627162;55664137200;","PRYNT: a tool for prioritization of disease candidates from proteomics data using a combination of shortest-path and random walk algorithms",2021,"Scientific Reports","11","1","5764","","",,,"10.1038/s41598-021-85135-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102445685&doi=10.1038%2fs41598-021-85135-3&partnerID=40&md5=fb1e122d4ab6c85f5376cad436478c9b",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85102445685
"Di Pietro, D.A., Hülsemann, F., Matalon, P., Mycek, P., Rüde, U., Ruiz, D.","6603444428;6507772999;57226812669;55192403000;6602328906;57533425300;","Towards robust, fast solutions of elliptic equations on complex domains through hybrid high-order discretizations and non-nested multigrid methods",2021,"International Journal for Numerical Methods in Engineering","122","22",,"6576","6595",,,"10.1002/nme.6803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112764541&doi=10.1002%2fnme.6803&partnerID=40&md5=a9d34ead105806e6acb52e4d8d10e577",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85112764541
"Martinez-Gil, J., Yin, S., Küng, J., Morvan, F.","57188967922;24825873400;7006389016;7006114075;","Matching Large Biomedical Ontologies Using Symbolic Regression",2021,"ACM International Conference Proceeding Series",,,,"162","167",,,"10.1145/3487664.3487781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122642008&doi=10.1145%2f3487664.3487781&partnerID=40&md5=03077ae3a37da4faa00d37933824ec69",Conference Paper,"Final","",Scopus,2-s2.0-85122642008
"Martinie, C., Grigoriadis, C., Kalogeraki, E.-M., Kotzanikolaou, P.","36721364900;57224117384;56341990300;55887434200;","Modelling Human Tasks to Enhance Threat Identification in Critical Maritime Systems",2021,"ACM International Conference Proceeding Series",,,,"375","380",,,"10.1145/3503823.3503892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125654940&doi=10.1145%2f3503823.3503892&partnerID=40&md5=6fffcc9ae0669d773cc99e1e4424f1e8",Conference Paper,"Final","",Scopus,2-s2.0-85125654940
"Pham, T.-A., Soubies, E., Soulez, F., Unser, M.","57195615262;55735010800;16308274100;7102049045;","Optical diffraction tomography from single-molecule localization microscopy",2021,"Optics Communications","499",,"127290","","",,,"10.1016/j.optcom.2021.127290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110469256&doi=10.1016%2fj.optcom.2021.127290&partnerID=40&md5=d49526237ad79a0b62b0ccfabea2aa40",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85110469256
"Thevin, D.-I.L., Rodier, N., Oriola, B., Hachet, M., Jouffrais, C., Brock, A.M.","57330888400;57215334842;26422444900;10140643700;7801364165;37013142800;","Inclusive Adaptation of Existing Board Games for Gamers with and without Visual Impairments using a Spatial Augmented Reality Framework for Touch Detection and Audio Feedback",2021,"Proceedings of the ACM on Human-Computer Interaction","5","ISS","3488550","","",,1,"10.1145/3488550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118934582&doi=10.1145%2f3488550&partnerID=40&md5=267c3a422b9a9b415d706b1961c56adb",Article,"Final","",Scopus,2-s2.0-85118934582
"Niyazov, A., Mellado, N., Barthe, L., Serrano, M.","57330769600;55785283300;6603874537;17435886300;","Dynamic Decals: Pervasive Freeform Interfaces Using Constrained Deformable Graphical Elements",2021,"Proceedings of the ACM on Human-Computer Interaction","5","ISS","3488538","","",,,"10.1145/3488538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118919854&doi=10.1145%2f3488538&partnerID=40&md5=c13afea3a959405a9207301c070d9a55",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85118919854
"Mnasri, S., Alrashidi, M.","56418283100;56405416200;","A comprehensive modeling of the discrete and dynamic problem of berth allocation in maritime terminals",2021,"Electronics (Switzerland)","10","21","2684","","",,1,"10.3390/electronics10212684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118326861&doi=10.3390%2felectronics10212684&partnerID=40&md5=9fe445986486a811497a87a265e5c96e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85118326861
"Gelin, L., Daniel, M., Pinquier, J., Pellegrini, T.","57222421861;57222422116;6701751687;24344539100;","End-to-end acoustic modelling for phone recognition of young readers",2021,"Speech Communication","134",,,"71","84",,,"10.1016/j.specom.2021.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115811680&doi=10.1016%2fj.specom.2021.08.003&partnerID=40&md5=7ded33c5fc922d40082023f68506e764",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85115811680
"Bonet, M.L., Buss, S., Ignatiev, A., Morgado, A., Marques-Silva, J.","35236373900;7003642323;56360244200;36914536800;6603779463;","Propositional proof systems based on maximum satisfiability",2021,"Artificial Intelligence","300",,"103552","","",,1,"10.1016/j.artint.2021.103552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110710184&doi=10.1016%2fj.artint.2021.103552&partnerID=40&md5=1cf9ca2b987e97170f0f24aae75a6500",Article,"Final","",Scopus,2-s2.0-85110710184
"Beuvin, F., de Givry, S., Schiex, T., Verel, S., Simoncini, D.","57226077370;57202464543;6701725548;6506732281;15042748400;","Iterated local search with partition crossover for computational protein design",2021,"Proteins: Structure, Function and Bioinformatics","89","11",,"1522","1529",,,"10.1002/prot.26174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110324921&doi=10.1002%2fprot.26174&partnerID=40&md5=6b5749746199f50a520fe9ca479b10d0",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85110324921
